allowed_values_levels,trait,categorical_trait_description,categorical_trait_synonyms,categorical_trait_identifier
falcate,leaf_shape,"A 2-dimensional sickle-shape, approximately lanceolate to linear and curved on one side.","scimitar-shaped, sickle-shaped, falciform, crescent-shaped",leaf_shape_falcate
reniform,leaf_shape,"A 2-dimensional shape that is roughly kidney-shaped, wider than long with a rounded apex and two rounded, basal lobes that are smoothly concave at their intersection.",kidney-shaped,leaf_shape_reniform
spathulate,leaf_shape,"A 2-dimensional shape that can be approximately oblong, obovate, or oblanceolate in outline with a long attenuate base, like a spoon.","spoon-shaped, clavate",leaf_shape_spathulate
strap-shaped,leaf_shape,A 2-dimensional shape that is strap-shaped with a rounded tip and a length:width ratio greater than 12:1.,NA,leaf_shape_strap-shaped
ensiform,leaf_shape,A 2-dimensional shape that is sword-shaped with a pointed tip and a length:width ratio greater than 12:1.,sword-shaped,leaf_shape_ensiform
subulate,leaf_shape,"A 2-dimensional shape that is awl-shaped, approximately narrowly oblong to narrowly triangular with a broad base.",awl-shaped,leaf_shape_subulate
peltate,leaf_shape,"A 2-dimensional orbicular shape, distinguished by the petiole attaching near the center of the leaf lamina.",NA,leaf_shape_peltate
filiform,leaf_shape,"A 2-dimensional shape that is long, thin, and typically flexuous, threadlike, filamentous.",NA,leaf_shape_filiform
acute,leaf_base_shape,Two sides of the leaf meet at an angle that is less than 90°.,NA,leaf_base_shape_acute
attenuate,leaf_base_shape,"Basal leaf margin abruptly incurved (concave), the two sides intersecting at an angle of less than 45°.",NA,leaf_base_shape_attenuate
auriculate,leaf_base_shape,Basal leaf margin with two rounded lobes. The leaf margin above the lobes is concave. The petiole attaches in the incised region between the lobes.,NA,leaf_base_shape_auriculate
cordate,leaf_base_shape,Basal leaf margin with two rounded lobes and the petiole attaches in the incised region between the lobes. The leaf margin above the lobes is rounded.,NA,leaf_base_shape_cordate
cuneate,leaf_base_shape,"Basal leaf margin approximately straight, the two sides intersecting at an angle between 45° to 90°.",NA,leaf_base_shape_cuneate
hastate,leaf_base_shape,"Basal leaf margin with two lobes oriented outward, such that they are at approximately 90° relative to the central axis and the leaf margin is fairly flat at the base.",NA,leaf_base_shape_hastate
oblique,leaf_base_shape,"The leaf base is asymmetrical, with the midrib not lying in the middle of the leaf where it attaches to the petiole.",NA,leaf_base_shape_oblique
obtuse,leaf_base_shape,Two sides of the leaf meet at an angle that is greater than 90°.,NA,leaf_base_shape_obtuse
rounded,leaf_base_shape,Basal leaf margin is rounded.,NA,leaf_base_shape_rounded
sagittate,leaf_base_shape,"Basal leaf margin with two lobes oriented downward, away from apex. The petiole attaches in the concave region between the lobes.",NA,leaf_base_shape_sagittate
sheathing,leaf_base_shape,The leaf base is broad and envelops the stem.,NA,leaf_base_shape_sheathing
truncate,leaf_base_shape,The basal leaf margin is cut straight across with the two sides intersecting at approximately 180°.,NA,leaf_base_shape_truncate
leaf,plant_photosynthetic_organ,"A true leaf, including both laminar and needle-shaped leaves.",NA,plant_photosynthetic_organ_leaf
cladode,plant_photosynthetic_organ,"A photosynthetic shoot, regardless of form, that functions as a leaf. For example, cacti pads and Casuarina articles.","article, phylloclade, cladophyll",plant_photosynthetic_organ_cladode
phyllode,plant_photosynthetic_organ,A flattened bladelike petiole.,switch plant,plant_photosynthetic_organ_phyllode
non-photosynthetic_plant,plant_photosynthetic_organ,A plant that lacks any photosynthetic organs.,NA,plant_photosynthetic_organ_non-photosynthetic_plant
broadleaf,leaf_type,"Flat leaf lamina, regardless of whether the leaves are or are not toothed, lobed, or compound.",NA,leaf_type_broadleaf
needle,leaf_type,Needle or awl-shaped leaf that is generally 3-dimensional.,NA,leaf_type_needle
scale,leaf_type,Leaf reduced to a small scale.,NA,leaf_type_scale
leafless,leaf_type,An adult stage plant that lacks leaves throughout the year.,NA,leaf_type_leafless
phanerophyte,life_form,Plant whose perennating buds are on persistent shoots which rise at least 50 cm above the soil surface. These are normally woody perennials.,NA,life_form_phanerophyte
chamaephyte,life_form,Plant whose perennating buds are on persistent shoots that do not extend more than 50 cm above the soil surface. These are normally woody perennials.,NA,life_form_chamaephyte
hemicryptophyte,life_form,Plant whose perennating buds are at or near the soil surface.,NA,life_form_hemicryptophyte
cryptophyte,life_form,"Plant whose perennating buds are subterranean or under water. This grouping can be further divided into geophyte, helophyte, and hydrophyte.",NA,life_form_cryptophyte
geophyte,life_form,"Plant that perennates as an organ (rhizome, bulb, corm, or tuber) buried in dry soil, with all leaves dying back each year; a subcategory of cryptophyte.",NA,life_form_geophyte
helophyte,life_form,"Plant that perennates as an organ (rhizome, bulb, corm, or tuber) buried in marshy or wet soil or lying under water, with buds emerging during the growing season and shoots and leaves rising about the water surface; a subcategory of cryptophyte.",emergent_hydrophyte,life_form_helophyte
hydrophyte,life_form,"Plant that perennates as buds or as an organ (rhizome, bulb, corm, or tuber) buried in marshy or wet soil or lying under water, with shoots emerging during the growing season that remain below or at the water surface; a subcategory of cryptophyte.",NA,life_form_hydrophyte
therophyte,life_form,"Annual plants whose shoot and root systems die completely at the end of flowering and seed production, such that they survive the unfavourable cold or dry season in the form of seeds.",NA,life_form_therophyte
epiphyte,life_form,Plant that grows on the surface of another plant.,NA,life_form_epiphyte
aerophyte,life_form,"Plant that obtains moisture and nutrients from the air and rain, resting on other plants or the ground surface.",NA,life_form_aerophyte
ephemeral,life_history,"A very short-lived plant, generally with a lifespan of only a few months and the exact length of lifespan quite variable and determined by environmental conditions.",NA,life_history_ephemeral
annual,life_history,"A plant that lives for up to one year after germinating, completing its life cycle in a single growing season.",NA,life_history_annual
biennial,life_history,"A plant that lives for up to two years after germinating, requiring two growing seasons to complete its life cycle and dying following the second growing season.",NA,life_history_biennial
perennial,life_history,"A plant that lives for three or more growing seasons, with an exact lifespan that is indeterminate.",NA,life_history_perennial
short_lived_perennial,life_history,"A perennial whose lifespan is less than approximately five years, with the exact lifespan generally dependent on environmental conditions.",NA,life_history_short_lived_perennial
disturbance_ephemeral,life_history_ephemeral_class,"Ephemeral plant the germinates and establishes following disturbance, but the type of disturbance is not specified.",NA,life_history_ephemeral_class_disturbance_ephemeral
rain_ephemeral,life_history_ephemeral_class,Ephemeral plant that germinates and establishes following rain or flood events.,NA,life_history_ephemeral_class_rain_ephemeral
fire_ephemeral,life_history_ephemeral_class,"Ephemeral plant that germinates and establishes following fire, where it is unknown if the plant is an obligate or facultative fire ephemeral.",NA,life_history_ephemeral_class_fire_ephemeral
fire_ephemeral_facultative,life_history_ephemeral_class,"Ephemeral plant that increases its germination and establishment following fire, but can also germinate and establish without fire.",NA,life_history_ephemeral_class_fire_ephemeral_facultative
fire_ephemeral_obligate,life_history_ephemeral_class,Ephemeral plant that only germinates and establishes following fire.,NA,life_history_ephemeral_class_fire_ephemeral_obligate
androdioecious,sex_type,Taxa in which hermaphroditic and staminate (male) plants coexist within a population.,NA,sex_type_androdioecious
andromonoecious,sex_type,Taxa with hermaphrodite flowers and staminate flowers (producing just male gametes) on the same plant but no pistillate (female) flowers.,NA,sex_type_andromonoecious
dioecious,sex_type,Taxa that produce male and female flowers on separate plants.,NA,sex_type_dioecious
gynodioecious,sex_type,Taxa in which hermaphroditic and pistillate (female) plants coexist within a population.,NA,sex_type_gynodioecious
gynomonoecious,sex_type,Taxa with hermaphrodite flowers and pistillate flowers (producing just female gametes) on the same plant but no staminate (male) flowers.,NA,sex_type_gynomonoecious
hermaphrodite,sex_type,Taxa with flowers that produce both male and female gametes; bisexual.,NA,sex_type_hermaphrodite
monoecious,sex_type,Taxa that have both male and female flowers on the same plant but an individual flower produces only male or female gametes.,NA,sex_type_monoecious
polygamous,sex_type,Taxa with both unisexual and bisexual flowers on the same plant.,NA,sex_type_polygamous
polygamodioecious,sex_type,Taxa where some flowers on a plant are hermaphrodite and other are pistillate (female) or staminate (male).,NA,sex_type_polygamodioecious
polygamonoecious,sex_type,Taxa where some plants in a population have hermaphrodite and pistillate (female) flowers and others have hermaphrodite and staminate (male) flowers.,NA,sex_type_polygamonoecious
trioecious,sex_type,"Taxa where plants in a population have either hermaphroditic (bisexual) flowers, pistillate (female) flowers, or staminate (male) flowers.",NA,sex_type_trioecious
unknown,sex_type,Inadequate information to assign a sex type.,NA,sex_type_unknown
non_nitrogen_fixer,nitrogen_fixing,Plant does not host nitrogen-fixing microbes.,NA,nitrogen_fixing_non_nitrogen_fixer
nitrogen_fixer,nitrogen_fixing,Plant hosts nitrogen-fixing microbes in root nodules.,NA,nitrogen_fixing_nitrogen_fixer
hemiparasitic,parasitic,"Plant that is photosynthetic but augments its energy, mineral nutrition, and /or water supply through parasitism. This trait value does not distinguish between obligate hemiparasites, plants which require a host for at least part of their life cycle, and facultative hemiparasites, plants which can grow and reproduce without a host.",NA,parasitic_hemiparasitic
hemiparasitic_obligate,parasitic,Plant that is photosynthetic but requires a host for at least part of its life cycle.,NA,parasitic_hemiparasitic_obligate
hemiparasitic_facultative,parasitic,"Plant that is photosynthetic and can grow and reproduce without a host but augments its energy, mineral nutrition, and /or water supply through parasitism.",NA,parasitic_hemiparasitic_facultative
holoparasitic,parasitic,Plant that obtains all (or nearly all) of its energy through parasitism.,NA,parasitic_holoparasitic
parasitic,parasitic,"Plant that obtains some energy, mineral nutrition and/or water through parasitism. This term is used if a dataset does not specify if a plant is a hemiparasite or a holoparasite.",NA,parasitic_parasitic
not_parasitic,parasitic,"In the context of this trait, a plant that does not acquire energy, mineral nutrition, and/or water via haustoria connected to another plant. It can include species that form a symbiosis, including a parasitic interaction, with a fungal partner.",NA,parasitic_not_parasitic
root_parasitic,parasitic,Parasitic plant whose haustoria penetrate the root of a host plant.,NA,parasitic_root_parasitic
stem_parasitic,parasitic,Parasitic plant whose haustoria penetrate the stem of a host plant.,NA,parasitic_stem_parasitic
saprophyte,plant_alternative_energy_and_nutrient_acquisition_strategy,Plant that acquires nutrients from decaying biomass.,NA,plant_alternative_energy_and_nutrient_acquisition_strategy_saprophyte
carnivorous,plant_alternative_energy_and_nutrient_acquisition_strategy,Plant that acquires some or most of its nutrients from animals or protozoa.,NA,plant_alternative_energy_and_nutrient_acquisition_strategy_carnivorous
nutrient_mining,plant_alternative_energy_and_nutrient_acquisition_strategy,"Plant that uses a specialised root structure, such as cluster roots, to mine nutrients inaccessible to other plant taxa.",NA,plant_alternative_energy_and_nutrient_acquisition_strategy_nutrient_mining
non_photosynthetic_bark,bark_photosynthetic_status,Plant's bark is not photosynthetic.,NA,bark_photosynthetic_status_non_photosynthetic_bark
photosynthetic_bark,bark_photosynthetic_status,Plant's bark is photosynthetic.,NA,bark_photosynthetic_status_photosynthetic_bark
c3,photosynthetic_pathway,"Plant using the 'standard' photosynthetic pathway, where a 3-carbon compound is produced after the first stage in the photosynthetic pathway.",NA,photosynthetic_pathway_c3
c4,photosynthetic_pathway,Plants in which the photosynthetic light-dependent reactions and the Calvin cycle are physically separated to reduce photorespiration.,NA,photosynthetic_pathway_c4
c3-c4,photosynthetic_pathway,Taxa that shift between C3 and C4 photosynthesis.,NA,photosynthetic_pathway_c3-c4
cam,photosynthetic_pathway,Plants which display crassulacean acid metabolism.,NA,photosynthetic_pathway_cam
c3-cam,photosynthetic_pathway,Taxa that shift between C3 and cam photosynthesis.,NA,photosynthetic_pathway_c3-cam
c4-cam,photosynthetic_pathway,Taxa that shift between C4 and cam photosynthesis.,NA,photosynthetic_pathway_c4-cam
facultative_cam,photosynthetic_pathway,Species that shifts between C3 and CAM photosynthesis depending on water availability.,NA,photosynthetic_pathway_facultative_cam
unknown,photosynthetic_pathway,"Photosynthetic pathway is unknown. (This trait value should be used if the photosynthetic pathway is assessed but unknown, not to record a lack of data.)",NA,photosynthetic_pathway_unknown
herb,plant_growth_form,A seed-bearing plant which does not have a woody above-ground stem; when available this term has been divided into more detailed terms.,forb,plant_growth_form_herb
subshrub,plant_growth_form,"A plant that is only woody at the base, with the remainder of the stems regenerating yearly. This term is not meant to encompass short-lived plants that are only borderline woody.",suffrutescent,plant_growth_form_subshrub
shrub,plant_growth_form,"A woody plant that is distinguished by NOT being a tree, due to one of more of the following characteristics, 1) they are less than 8 metres in height; 2) if a plant community includes trees, the shrubs are shorter than the surrounding trees and not part of the canopy; 3) in comparison to trees, the leaves are more distributed along the entire trunk; 4) the plant has multiple relatively narrow stems arising at or near ground level. The definition of `shrub` is complex, as there are many single-stemmed shrubs within Australia and many taxa that are described in the taxonomic literature as a shrub or small tree.",NA,plant_growth_form_shrub
mallee,plant_growth_form,Refers to Eucalyptus species which are small trees that form a large lignotuber. They have multiple stems arising at or near ground level and regenerate from the lignotuber following fire.,NA,plant_growth_form_mallee
tree,plant_growth_form,"A tall, woody, perennial plant, usually with a single main trunk, and its leaves predominantly elevated above the ground surface.",NA,plant_growth_form_tree
graminoid,plant_growth_form,"Herbaceous plant with a grass-like morphology that is within the order Poales. Taxa both with and without a tussock form are mapped to this term. This term is most frequently applied to three large monocot families, Poaceae, Cyperaceae, and Juncaceae, but the term could apply to other taxa within Poales with a grass-like morphology, including narrow, linear leaves and non-showy flowers, including Restionaceae, Centrolepidaceae, Anarthriaceae, and Ecdeiocoleaceae. Taxa outside Poales with a grass-like morphology should be designated as `herbs` and also have the term `tufted` mapped to the trait `stem_growth_habit`.",NA,plant_growth_form_graminoid
tussock,plant_growth_form,"A subcategory of graminoid, which is a plant where many shoots from the basal meristem form prominent tufts.",NA,plant_growth_form_tussock
graminoid_not_tussock,plant_growth_form,"A subcategory of graminoid, indicating a plant which explicitly lacks a tussock morphology, with the leaves not growing in tufts.",NA,plant_growth_form_graminoid_not_tussock
hummock,plant_growth_form,Plant that grows as a dense mound up to 1 metre in height. The term generally applies only to species within the genera Triodia that form such mounds and these are considered a distinctive and uniquely Australian growth form.,NA,plant_growth_form_hummock
basal_large,plant_growth_form,"A plant whose leaves form a distinctly large basal tuft or rosette, including large acaulescent monocots and cycads.",NA,plant_growth_form_basal_large
geophyte,plant_growth_form,"Subcategory of herb, specifically referring to plants that survive the winter/dry season as an organ (rhizome, bulb, corm, or tuber) buried in dry soil, with all leaves dying back each year.",NA,plant_growth_form_geophyte
palmoid,plant_growth_form,"Plant that bears a rosette-like canopy of typically large, often compound leaves atop a usually thick (pachycaulous), columnar, unbranched or little-branched stem. Palms, tree ferns, trunked cycads, trunked grass-trees, and Pandanus are mapped to this term.","rosette-tree, palm, grass-tree",plant_growth_form_palmoid
climber,plant_growth_form,"Plant that climbs up another plant's stem or branches, rather than being able to support itself. Term used only if datasets do not specify if a climbing plant is herbaceous (a vine) or woody (a liana).",NA,plant_growth_form_climber
climber_herbaceous,plant_growth_form,"Herbaceous plant that climbs up another plant's stem or branches, rather than being able to support itself. This is usually synonymous with `vine`. Types of climbers (scrambling, twining) are captured under the trait `plant_climbing_mechanism`.",vine,plant_growth_form_climber_herbaceous
climber_woody,plant_growth_form,"Woody or thick-stemmed (>2 cm) plant that climbs up another plant's stem or branches, rather than being able to support itself. This is usually synonymous with `liana`. Woody climbers generally use hooks, tendrils, and/or adventitious roots to climb; the climbing mechanisms used by a taxon are captured under the trait `plant_climbing_mechanism`.",liana,plant_growth_form_climber_woody
fern,plant_growth_form,A taxonomic grouping that includes acaulescent ferns; ferns are vascular plants that reproduce via spores and have neither seeds nor flowers.,NA,plant_growth_form_fern
lycophyte,plant_growth_form,"A taxonomic grouping that includes quillworts, clubmosses, and spike mosses.",NA,plant_growth_form_lycophyte
succulent_stems,plant_succulence,Stems are thick and fleshy.,NA,plant_succulence_succulent_stems
succulent_leaves,plant_succulence,Leaves are thick and fleshy.,NA,plant_succulence_succulent_leaves
succulent,plant_succulence,A plant is designated as succulent but it is not specified which tissues are thick and fleshy.,NA,plant_succulence_succulent
semi-succulent,plant_succulence,"A plant has tissues that are somewhat thick and fleshy, including many chenopods.",NA,plant_succulence_semi-succulent
not_succulent,plant_succulence,Neither stems nor leaves are thick and fleshy.,NA,plant_succulence_not_succulent
arborescent,stem_growth_habit,Tree-like growth habit.,NA,stem_growth_habit_arborescent
erect,stem_growth_habit,Stems that grow upright.,NA,stem_growth_habit_erect
caespitose,stem_growth_habit,"Multiple short-shoots arise from the base of the plant forming a dense tuft, as in a bunch-grass.","cespitose, bunch-grass, tussock",stem_growth_habit_caespitose
cushion-forming,stem_growth_habit,"Multiple erect, short stems arise from the soil and are so tightly packed that they form dense, even, rounded canopy with no gaps.",cushion,stem_growth_habit_cushion-forming
mat-forming,stem_growth_habit,Multiple stems that are mostly horizontal and are densely packed but open enough that there are still a few gaps between them.,NA,stem_growth_habit_mat-forming
tufted,stem_growth_habit,"Plant has a dense clump of leaves, either at the base of the plant or clusters of leaves growing close together higher on the plant. This term can refer to grasses, shrubs, or trees.",NA,stem_growth_habit_tufted
creeping,stem_growth_habit,"Stem that creeps along the ground, rooting at nodes.",repent,stem_growth_habit_creeping
decumbent,stem_growth_habit,Stems whose bases lie flat on the ground but whose tips grow upward.,ascending,stem_growth_habit_decumbent
prostrate,stem_growth_habit,Stems lie flat on the ground but do not root at nodes.,"procumbent, reclining, trailing",stem_growth_habit_prostrate
rosette,stem_growth_habit,Plants whose leaves radiate from a central point at or near ground level.,"acaulescent, rosulate",stem_growth_habit_rosette
climbing,stem_growth_habit,"Stem that does not have a self-supporting structure and ascends by leaning on or attaching itself to surrounding vegetation or another substrate. Climbing mechanisms include tendrils, petioles, adventitious roots, scrambling, and twining and are distinguished between in the trait `plant_climbing_mechanism`.",NA,stem_growth_habit_climbing
sprawling,stem_growth_habit,Stem that sprawls across other plants or objects but lacks specialised climbing structures or mechanisms.,"clambering, scandent",stem_growth_habit_sprawling
rhizomatous,stem_growth_habit,Plants with short horizontal underground stems from which shoots emerge.,NA,stem_growth_habit_rhizomatous
stoloniferous,stem_growth_habit,"Plants with long horizontal branches either slightly belowground or aboveground, that root at their nodes or tips, producing new plants.",sarmentose,stem_growth_habit_stoloniferous
spreading,stem_growth_habit,"Plants with a notable horizontal extent, referring either to a broad tree canopy or a shrub or herb that spreads across the ground.",NA,stem_growth_habit_spreading
floating,stem_growth_habit,Plant where most of the leaves are floating on water.,NA,stem_growth_habit_floating
submerged,stem_growth_habit,Plant where most of the leaves are submerged beneath the surface of a waterbody.,NA,stem_growth_habit_submerged
dense,stem_growth_habit,Plant with a high density of branches.,NA,stem_growth_habit_dense
compact,stem_growth_habit,Plant with closely packed branches.,NA,stem_growth_habit_compact
bushy,stem_growth_habit,Plant with much-branched branches.,shrubby,stem_growth_habit_bushy
open,stem_growth_habit,Plant with an open architecture of branches.,NA,stem_growth_habit_open
spindly,stem_growth_habit,"Plants with weak, skinny branches.",NA,stem_growth_habit_spindly
adventitious_roots,plant_climbing_mechanism,Roots arising from stem nodes which cling to a host plant.,NA,plant_climbing_mechanism_adventitious_roots
hooks,plant_climbing_mechanism,Curved stem outgrowths which allow climbers to cling to a host plant.,NA,plant_climbing_mechanism_hooks
spines,plant_climbing_mechanism,Straight stem outgrowths (including true spines as well as thorns and prickles) which allow climbers to cling to a host plant.,NA,plant_climbing_mechanism_spines
tendrils,plant_climbing_mechanism,"Modified leaves, petioles, or specialised axillary shoots that coil tightly, forming a specialised structure for climbing.",NA,plant_climbing_mechanism_tendrils
scrambling,plant_climbing_mechanism,"Stem growth habit, where the plant stems are too weak to support themselves, and instead lean on and are supported by host vegetation. There are no specialised structures employed.",NA,plant_climbing_mechanism_scrambling
twining,plant_climbing_mechanism,"Stem growth habit, where the plant stems twist or coil around a host plant to provide support.",NA,plant_climbing_mechanism_twining
epiphyte,plant_growth_substrate,A plant that grows upon another plant.,NA,plant_growth_substrate_epiphyte
lithophyte,plant_growth_substrate,A plant that grows upon a rock.,NA,plant_growth_substrate_lithophyte
terrestrial,plant_growth_substrate,"A plant that grows on land, and generally referencing a plant that grows in soil.",NA,plant_growth_substrate_terrestrial
semiaquatic,plant_growth_substrate,A plant that grows partially submerged in water or spends part of its life growing in water.,NA,plant_growth_substrate_semiaquatic
aquatic,plant_growth_substrate,A plant that grows in water.,NA,plant_growth_substrate_aquatic
marine,plant_growth_substrate,A plant that grows in the sea.,NA,plant_growth_substrate_marine
hemiepiphyte,plant_growth_substrate,"A plant that spends part of its life cycle as an epiphyte, growing upon another plant.",NA,plant_growth_substrate_hemiepiphyte
hydrohalophyte,plant_type_by_resource_use,Tidal swamp or 'mangrove' and coastal lagoon elements and temperate-zone salt-marsh taxa are classed together.,NA,plant_type_by_resource_use_hydrohalophyte
phreatophyte,plant_type_by_resource_use,Deep-rooted plants—usually trees—obtaining water from a deep underground source that may or may not be saline.,NA,plant_type_by_resource_use_phreatophyte
psammophile,plant_type_by_resource_use,Sand-loving plants commonly found in littoral strand or inland sandfields.,NA,plant_type_by_resource_use_psammophile
weedy,plant_type_by_resource_use,"This inexact term is meant to indicate a high degree of adaptability to sites, and proven tendency toward aggressive colonization of either dry or wet sites, or rarely, both. In general, weeds invade and colonize highly disturbed sites or areas.",NA,plant_type_by_resource_use_weedy
xerohalophyte,plant_type_by_resource_use,Plants adapted to inland salt desert and saline habitats.,NA,plant_type_by_resource_use_xerohalophyte
xerophyte,plant_type_by_resource_use,Drought-tolerant and drought-adapted plants.,NA,plant_type_by_resource_use_xerophyte
abiotic,pollination_syndrome,"Floral syndrome indicates pollination occurs through wind, water, or collision of free-floating particles.",NA,pollination_syndrome_abiotic
biotic,pollination_syndrome,Floral syndrome suggests flowers are pollinated by a biotic agent.,NA,pollination_syndrome_biotic
animal,pollination_syndrome,Floral syndrome suggests flowers are animal-pollinated.,NA,pollination_syndrome_animal
ballistic,pollination_syndrome,Floral syndrome suggests pollen is launched away from the plant by explosion.,NA,pollination_syndrome_ballistic
bat,pollination_syndrome,Floral syndrome suggests flowers are bat-pollinated.,NA,pollination_syndrome_bat
bee,pollination_syndrome,Floral syndrome suggests flowers are bee-pollinated.,NA,pollination_syndrome_bee
beetle,pollination_syndrome,Floral syndrome suggests flowers are beetle-pollinated.,NA,pollination_syndrome_beetle
bird,pollination_syndrome,Floral syndrome suggests flowers are bird-pollinated.,NA,pollination_syndrome_bird
butterfly,pollination_syndrome,Floral syndrome suggests flowers are butterfly-pollinated.,NA,pollination_syndrome_butterfly
fly,pollination_syndrome,Floral syndrome suggests flowers are fly-pollinated.,NA,pollination_syndrome_fly
insect,pollination_syndrome,"Floral syndrome suggests flowers are insect-pollinated, type of insect not specified.",NA,pollination_syndrome_insect
mammal,pollination_syndrome,Floral syndrome suggests flowers are mammal-pollinated.,NA,pollination_syndrome_mammal
moth,pollination_syndrome,Floral syndrome suggests flowers are moth-pollinated.,NA,pollination_syndrome_moth
thrip,pollination_syndrome,Floral syndrome suggests flowers are thrip-pollinated.,NA,pollination_syndrome_thrip
vertebrate,pollination_syndrome,"Floral syndrome suggests flowers are vertebrate-pollinated (bats, birds, mammals or lizards).",NA,pollination_syndrome_vertebrate
wasp,pollination_syndrome,Floral syndrome suggests flowers are wasp-pollinated.,NA,pollination_syndrome_wasp
water,pollination_syndrome,Floral syndrome suggests flowers are water-pollinated.,NA,pollination_syndrome_water
wind,pollination_syndrome,Floral syndrome suggests flowers are wind-pollinated.,NA,pollination_syndrome_wind
self,pollination_syndrome,Floral syndrome suggests flowers are primarily self-pollinating.,NA,pollination_syndrome_self
pollination_rare,pollination_syndrome,Plants mostly reproduce through vegetative spread and flowering is rare.,NA,pollination_syndrome_pollination_rare
abiotic,pollination_system,"Observations indicate pollination occurs through wind, water, or collision of free-floating particles.",NA,pollination_system_abiotic
biotic_unspecialised,pollination_system,"Taxa are pollinated by a biotic agent, but do not have a specialist pollinator.",NA,pollination_system_biotic_unspecialised
biotic_specialised,pollination_system,Taxa depend upon a specialist pollinator for pollen transfer.,NA,pollination_system_biotic_specialised
animal,pollination_system,Flowers are observed to be animal-pollinated.,NA,pollination_system_animal
ballistic,pollination_system,Pollen is observed to be launched away from the plant by explosion.,NA,pollination_system_ballistic
bat,pollination_system,Flowers are observed to be bat-pollinated.,NA,pollination_system_bat
bee,pollination_system,Flowers are observed to be bee-pollinated.,NA,pollination_system_bee
beetle,pollination_system,Flowers are observed to be beetle-pollinated.,NA,pollination_system_beetle
bird,pollination_system,Flowers are observed to be bird-pollinated.,NA,pollination_system_bird
butterfly,pollination_system,Flowers are observed to be butterfly-pollinated.,NA,pollination_system_butterfly
fly,pollination_system,Flowers are observed to be fly-pollinated.,NA,pollination_system_fly
insect,pollination_system,"Flowers are observed to be insect-pollinated, type of insect not specified.",NA,pollination_system_insect
mammal,pollination_system,Flowers are observed to be mammal-pollinated.,NA,pollination_system_mammal
moth,pollination_system,Flowers are observed to be moth-pollinated.,NA,pollination_system_moth
thrip,pollination_system,Flowers are observed to be thrip-pollinated.,NA,pollination_system_thrip
vertebrate,pollination_system,"Flowers are observed to be vertebrate-pollinated (bats, birds, mammals or lizards).",NA,pollination_system_vertebrate
wasp,pollination_system,Flowers are observed to be wasp-pollinated.,NA,pollination_system_wasp
water,pollination_system,Flowers are observed to be water-pollinated.,NA,pollination_system_water
wind,pollination_system,Flowers are observed to be wind-pollinated.,NA,pollination_system_wind
self,pollination_system,Flowers are self-pollinated.,NA,pollination_system_self
apical_buds,bud_bank_location,"Plants resprout from above-ground apical meristems. Also termed a caudex. Term refers to palm-like plants with aerial buds that resprout, including grass trees, palms, tree ferns, and pandanus.",aerial apical sprouter,bud_bank_location_apical_buds
basal_buds,bud_bank_location,"Plants resprout from its base, with buds originating from stem tissue (e.g. lignotuber) and root tissue (root crown) not distinguished between. Most buds designated as being basal are likely to be resprouts from a lignotuber, but this trait value is used if the dataset reported `basal buds` rather than `basal stem buds` or `lignotuber`.",NA,bud_bank_location_basal_buds
basal_stem_buds,bud_bank_location,"Plants resprout from the base of the stem. Australian plants with basal stem buds usually have a lignotuber, documented in the trait `storage_organ`.","rootstock, lignotuberous resprouter",bud_bank_location_basal_stem_buds
epicormic_buds,bud_bank_location,Plants resprout from the stem or trunk.,NA,bud_bank_location_epicormic_buds
fleshy_underground_organ,bud_bank_location,"Plants resprouts from buds on a fleshy underground organ that is a taproot tuber, bulb, corm, stem tuber, root tuber, or belowground caudex.",geophyte,bud_bank_location_fleshy_underground_organ
root_crown,bud_bank_location,"Plants resprout from the root crown, the root tissue at the root-stem transition.",NA,bud_bank_location_root_crown
bud-bearing_root,bud_bank_location,Root buds produce vertical suckers (from root crown) or adventitious roots.,"root-suckering resprouter, adventitious buds",bud_bank_location_bud-bearing_root
rhizome,bud_bank_location,"Plants resprout from buds on a rhizome, where it is not specified if the rhizome is woody or non-woody.",NA,bud_bank_location_rhizome
rhizome_woody,bud_bank_location,Plants resprout from buds on a woody rhizome.,NA,bud_bank_location_rhizome_woody
rhizome_non_woody,bud_bank_location,"Plants resprout from buds on a fleshy rhizome, rhizophore, or fibrous rhizome.",NA,bud_bank_location_rhizome_non_woody
stem_buds,bud_bank_location,Plants resprout from stem buds; this trait value is separate to epicormic buds.,aerial axillary resprouter,bud_bank_location_stem_buds
stem_tuber,bud_bank_location,Plants resprout from buds on a stem tuber.,NA,bud_bank_location_stem_tuber
stolon,bud_bank_location,Horizontal branches (stems) resprout from the base of the plant.,NA,bud_bank_location_stolon
underground_buds,bud_bank_location,"Plants that resprout from underground organ, but the type of organ isn't specified.",NA,bud_bank_location_underground_buds
none,bud_bank_location,Plants lack regenerative buds.,NA,bud_bank_location_none
bulb,storage_organ,Below ground storage organ derived from stem and usually leaf tissue.,NA,storage_organ_bulb
corm,storage_organ,"Below ground storage organ that is a short, rounded, vertical, fleshy, underground stem.",NA,storage_organ_corm
caudex,storage_organ,"Swollen stem that usually functions in water storage, although the term can also apply to below ground structures or to swollen roots.",NA,storage_organ_caudex
fleshy_underground_organ,storage_organ,"Plants that use fleshy, generally underground organs (swellings) to regenerate, but the type of organ is not specified; examples include corms, tubers, bulbs, and caudex.",NA,storage_organ_fleshy_underground_organ
